id,name,experiences_offered,host_id,host_name,host_since,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_neighbourhood,host_listings_count,host_total_listings_count,host_verifications,host_has_profile_pic,host_identity_verified,street,neighbourhood,neighbourhood_cleansed,city,state,zipcode,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,amenities,square_feet,price,weekly_price,monthly_price,security_deposit,cleaning_fee,guests_included,extra_people,minimum_nights,maximum_nights,calendar_updated,has_availability,availability_30,availability_60,availability_90,availability_365,calendar_last_scraped,number_of_reviews,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,requires_license,license,instant_bookable,cancellation_policy,require_guest_profile_picture,require_guest_phone_verification,calculated_host_listings_count,reviews_per_month,factor_city
241032,Stylish Queen Anne Apartment,none,956883,Maija,2011-08-11,within a few hours,0.96,1.00,FALSE,Queen Anne,3,3,"    email  ,   phone  ,   reviews  ,   kba    ",TRUE,TRUE,"Gilman Dr W, Seattle, WA 98119, United States",Queen Anne,West Queen Anne,Seattle,WA,98119,Apartment,Entire home/apt,4,1,1,1,Real Bed,"""Cable TV"",""Wireless Internet"",""Air Conditioning"",""Kitchen"",""Heating"",""Family/Kid Friendly"",""Washer"",""Dryer""",NA,$85.00 ,NA,NA,NA,NA,2,$5.00 ,1,365,4 weeks ago,TRUE,14,41,71,346,1/4/2016,207,2011-11-01,2016-01-02,95,10,10,10,10,9,10,FALSE,NA,FALSE,moderate,FALSE,FALSE,2,4.07,Seattle
953595,Bright & Airy Queen Anne Apartment,none,5177328,Andrea,2013-02-21,within an hour,0.98,1.00,TRUE,Queen Anne,6,6,"    email  ,   phone  ,   facebook  ,   linkedin  ,   reviews  ,   jumio    ",TRUE,TRUE,"7th Avenue West, Seattle, WA 98119, United States",Queen Anne,West Queen Anne,Seattle,WA,98119,Apartment,Entire home/apt,4,1,1,1,Real Bed,"""Wireless Internet"",""Kitchen"",""Free Parking on Premises"",""Buzzer/Wireless Intercom"",""Heating"",""Family/Kid Friendly"",""Washer"",""Dryer"",""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Safety Card"",""Fire Extinguisher"",""Essentials""",NA,$150.00 ,"$1,000.00 ","$3,000.00 ",$100.00 ,$40.00 ,1,$0.00 ,2,90,today,TRUE,13,13,16,291,1/4/2016,43,2013-08-19,2015-12-29,96,10,10,10,10,10,10,FALSE,NA,FALSE,strict,TRUE,TRUE,6,1.48,Seattle
3308979,New Modern House-Amazing water view,none,16708587,Jill,2014-06-12,within a few hours,0.67,1.00,FALSE,Queen Anne,2,2,"    email  ,   phone  ,   google  ,   reviews  ,   jumio    ",TRUE,TRUE,"West Lee Street, Seattle, WA 98119, United States",Queen Anne,West Queen Anne,Seattle,WA,98119,House,Entire home/apt,11,4.5,5,7,Real Bed,"""Cable TV"",""Wireless Internet"",""Air Conditioning"",""Kitchen"",""Free Parking on Premises"",""Pets Allowed"",""Pets live on this property"",""Dog(s)"",""Cat(s)"",""Hot Tub"",""Indoor Fireplace"",""Heating"",""Family/Kid Friendly"",""Washer"",""Dryer"",""Smoke Detector"",""Carbon Monoxide Detector"",""Essentials"",""Shampoo""",NA,$975.00 ,NA,NA,"$1,000.00 ",$300.00 ,10,$25.00 ,4,30,5 weeks ago,TRUE,1,6,17,220,1/4/2016,20,2014-07-30,2015-09-03,97,10,10,10,10,10,10,FALSE,NA,FALSE,strict,FALSE,FALSE,2,1.15,Seattle
7421966,Queen Anne Chateau,none,9851441,Emily,2013-11-06, , , ,FALSE,Queen Anne,1,1,"    email  ,   phone  ,   facebook  ,   reviews  ,   jumio    ",TRUE,TRUE,"8th Avenue West, Seattle, WA 98119, United States",Queen Anne,West Queen Anne,Seattle,WA,98119,Apartment,Entire home/apt,3,1,0,2,Real Bed,"""Wireless Internet"",""Kitchen"",""Indoor Fireplace"",""Heating"",""Family/Kid Friendly"",""Washer"",""Dryer"",""Smoke Detector"",""Carbon Monoxide Detector"",""Safety Card"",""Fire Extinguisher"",""Essentials"",""Shampoo""",NA,$100.00 ,$650.00 ,"$2,300.00 ",NA,NA,1,$0.00 ,1,1125,6 months ago,TRUE,0,0,0,143,1/4/2016,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,FALSE,flexible,FALSE,FALSE,1,NA,Seattle
278830,Charming craftsman 3 bdm house,none,1452570,Emily,2011-11-29,within an hour,1.00, ,FALSE,Queen Anne,2,2,"    email  ,   phone  ,   facebook  ,   reviews  ,   kba    ",TRUE,TRUE,"14th Ave W, Seattle, WA 98119, United States",Queen Anne,West Queen Anne,Seattle,WA,98119,House,Entire home/apt,6,2,3,3,Real Bed,"""Cable TV"",""Wireless Internet"",""Kitchen"",""Heating"",""Family/Kid Friendly"",""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Fire Extinguisher"",""Essentials"",""Shampoo""",NA,$450.00 ,NA,NA,$700.00 ,$125.00 ,6,$15.00 ,1,1125,7 weeks ago,TRUE,30,60,90,365,1/4/2016,38,2012-07-10,2015-10-24,92,9,9,10,10,9,9,FALSE,NA,FALSE,strict,FALSE,FALSE,1,0.89,Seattle
5956968,Private unit in a 1920s mansion,none,326758,Andrew,2010-12-25, , , ,FALSE,Queen Anne,1,1,"    email  ,   phone  ,   facebook  ,   reviews  ,   kba    ",TRUE,TRUE,"West Comstock Street, Seattle, WA 98119, United States",Queen Anne,West Queen Anne,Seattle,WA,98119,House,Private room,2,1,1,1,Real Bed,"""Wireless Internet"",""Free Parking on Premises"",""Heating"",""Smoke Detector"",""Essentials"",""Shampoo""",NA,$120.00 ,$800.00 ,NA,NA,$40.00 ,1,$30.00 ,1,6,2 weeks ago,TRUE,0,0,27,302,1/4/2016,17,2015-06-11,2015-09-28,95,10,10,10,10,10,10,FALSE,NA,FALSE,strict,FALSE,FALSE,1,2.45,Seattle
1909058,Queen Anne Private Bed and Bath,none,2497928,Gary And Beth,2012-05-30,within an hour,1.00,1.00,TRUE,Queen Anne,1,1,"    email  ,   phone  ,   reviews  ,   kba    ",TRUE,TRUE,"10th Avenue West, Seattle, WA 98119, United States",Queen Anne,West Queen Anne,Seattle,WA,98119,House,Private room,2,1,1,1,Real Bed,"""Wireless Internet"",""Free Parking on Premises"",""Heating"",""Smoke Detector"",""First Aid Kit"",""Essentials"",""Shampoo""",NA,$80.00 ,$575.00 ,NA,$150.00 ,NA,1,$10.00 ,3,14,5 weeks ago,TRUE,20,49,71,346,1/4/2016,58,2014-01-27,2015-12-07,99,10,10,10,10,10,10,FALSE,NA,FALSE,moderate,FALSE,FALSE,1,2.46,Seattle
856550,Tiny Garden cabin on Queen Anne,none,4016632,Jean-Marc,2012-10-30,within an hour,1.00,1.00,TRUE,Queen Anne,5,5,"    email  ,   phone  ,   facebook  ,   google  ,   linkedin  ,   reviews  ,   jumio    ",TRUE,TRUE,"West Wheeler Street, Seattle, WA 98119, United States",Queen Anne,West Queen Anne,Seattle,WA,98119,Cabin,Private room,2,1,1,1,Real Bed,"""Wireless Internet"",""Pets live on this property"",""Dog(s)"",""Heating"",""Family/Kid Friendly"",""Essentials"",""Shampoo""",NA,$60.00 ,$360.00 ,NA,$150.00 ,$25.00 ,1,$0.00 ,2,7,yesterday,TRUE,22,42,42,100,1/4/2016,173,2013-01-03,2016-01-01,97,10,10,10,10,9,10,FALSE,NA,FALSE,strict,TRUE,TRUE,5,4.73,Seattle
4948745,Urban Charm || Downtown || Views,none,2166277,Aliza,2012-04-18, , ,1.00,FALSE,Queen Anne,1,1,"    email  ,   phone  ,   facebook  ,   linkedin  ,   reviews  ,   kba    ",TRUE,TRUE,"Queen Anne Avenue North, Seattle, WA 98109, United States",Queen Anne,West Queen Anne,Seattle,WA,98109,Apartment,Private room,2,1,1,1,Real Bed,"""Cable TV"",""Wireless Internet"",""Kitchen"",Breakfast,""Indoor Fireplace"",""Heating"",""Washer"",""Dryer"",""Smoke Detector"",""First Aid Kit"",""Fire Extinguisher"",""Essentials"",""Shampoo""",NA,$90.00 ,$500.00 ,"$1,700.00 ",NA,NA,1,$0.00 ,3,1125,5 months ago,TRUE,6,36,66,341,1/4/2016,8,2015-06-22,2015-08-17,97,10,9,10,9,10,10,FALSE,NA,FALSE,strict,FALSE,FALSE,1,1.22,Seattle
2493658,Airy + Bright Queen Anne Apartment,none,5177328,Andrea,2013-02-21,within an hour,0.98,1.00,TRUE,Queen Anne,6,6,"    email  ,   phone  ,   facebook  ,   linkedin  ,   reviews  ,   jumio    ",TRUE,TRUE,"7th Avenue West, Seattle, WA 98119, United States",Queen Anne,West Queen Anne,Seattle,WA,98119,Apartment,Entire home/apt,4,1,1,1,Real Bed,"""Wireless Internet"",""Kitchen"",""Free Parking on Premises"",""Buzzer/Wireless Intercom"",""Heating"",""Family/Kid Friendly"",""Washer"",""Dryer"",""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Safety Card"",""Fire Extinguisher"",""Essentials""",NA,$150.00 ,"$1,000.00 ","$3,000.00 ",$100.00 ,$40.00 ,1,$0.00 ,2,365,today,TRUE,6,19,49,324,1/4/2016,32,2014-04-27,2015-12-20,97,10,10,10,10,10,9,FALSE,NA,FALSE,strict,TRUE,TRUE,6,1.55,Seattle
